,quadname,hydrodym,densities.submat,density_m,density_cm,sub
352,submat_Vdiff2,oscillating,1,20.30882661,2030882.661,1
353,submat_Vdiff2,oscillating,2,49.99876241,4999876.241,2
354,submat_Vdiff2,oscillating,3,109.7931575,10979315.75,3
355,submat_Vdiff2,oscillating,1,19.75695632,1975695.632,1
356,submat_Vdiff2,oscillating,2,50.49379966,5049379.966,2
357,submat_Vdiff2,oscillating,3,113.7143417,11371434.17,3
358,submat_Vdiff2,oscillating,1,19.42583415,1942583.415,1
359,submat_Vdiff2,oscillating,2,50.49379966,5049379.966,2
360,submat_Vdiff2,oscillating,3,115.6749338,11567493.38,3
361,submat_Vdiff1,cyclo,1,37.25124988,3725124.988,1
362,submat_Vdiff1,cyclo,2,9.158189154,915818.9154,2
363,submat_Vdiff1,cyclo,3,30.68398804,3068398.804,3
364,submat_Vdiff1,cyclo,1,34.31036173,3431036.173,1
365,submat_Vdiff1,cyclo,2,7.673077399,767307.7399,2
366,submat_Vdiff1,cyclo,3,30.02174369,3002174.369,3
367,submat_Vdiff1,cyclo,1,28.42858543,2842858.543,1
368,submat_Vdiff1,cyclo,2,7.425558773,742555.8773,2
369,submat_Vdiff1,cyclo,3,29.4698734,2946987.34,3
370,submat_Vdiff1,cyclo,1,36.27095383,3627095.383,1
371,submat_Vdiff1,cyclo,2,8.168114651,816811.4651,2
372,submat_Vdiff1,cyclo,3,30.2424918,3024249.18,3
373,submat_Vdiff1,cyclo,1,25.48769728,2548769.728,1
374,submat_Vdiff1,cyclo,2,8.910670528,891067.0528,2
375,submat_Vdiff1,cyclo,3,33.22259136,3322259.136,3
376,submat_Vdiff1,flow,1,24.50740124,2450740.124,1
377,submat_Vdiff1,flow,2,27.22704884,2722704.884,2
378,submat_Vdiff1,flow,3,19.20508604,1920508.604,3
379,submat_Vdiff1,flow,1,36.27095383,3627095.383,1
380,submat_Vdiff1,flow,2,20.29652731,2029652.731,2
381,submat_Vdiff1,flow,3,17.10797894,1710797.894,3
382,submat_Vdiff1,flow,1,19.60592099,1960592.099,1
383,submat_Vdiff1,flow,2,23.0192322,2301923.22,2
384,submat_Vdiff1,flow,3,19.09471198,1909471.198,3
385,submat_Vdiff1,flow,1,20.58621704,2058621.704,1
386,submat_Vdiff1,flow,2,26.97953021,2697953.021,2
387,submat_Vdiff1,flow,3,17.43910111,1743910.111,3
388,submat_Vdiff1,flow,1,41.17243408,4117243.408,1
389,submat_Vdiff1,flow,2,27.22704884,2722704.884,2
390,submat_Vdiff1,flow,3,15.45236808,1545236.808,3
391,submat_Vdiff1,active,1,8.822664445,882266.4445,1
392,submat_Vdiff1,active,2,6.43548427,643548.427,2
393,submat_Vdiff1,active,3,6.622443461,662244.3461,3
394,submat_Vdiff1,active,1,6.862072346,686207.2346,1
395,submat_Vdiff1,active,2,7.673077399,767307.7399,2
396,submat_Vdiff1,active,3,7.174313749,717431.3749,3
397,submat_Vdiff1,active,1,6.862072346,686207.2346,1
398,submat_Vdiff1,active,2,6.43548427,643548.427,2
399,submat_Vdiff1,active,3,6.070573172,607057.3172,3
